year;offence;gender of victim;age group;value
2011;Cheating & Related;Female;21 Years Old And Below;135
2012;Cheating & Related;Female;21 Years Old And Below;176
2013;Cheating & Related;Female;21 Years Old And Below;141
2014;Cheating & Related;Female;21 Years Old And Below;217
2015;Cheating & Related;Female;21 Years Old And Below;280
2016;Cheating & Related;Female;21 Years Old And Below;343
2017;Cheating & Related;Female;21 Years Old And Below;304
2018;Cheating & Related;Female;21 Years Old And Below;365
2019;Cheating & Related;Female;21 Years Old And Below;508
2011;Cheating & Related;Female;Above 21 Years Old;847
2012;Cheating & Related;Female;Above 21 Years Old;680
2013;Cheating & Related;Female;Above 21 Years Old;842
2014;Cheating & Related;Female;Above 21 Years Old;1468
2015;Cheating & Related;Female;Above 21 Years Old;2284
2016;Cheating & Related;Female;Above 21 Years Old;2577
2017;Cheating & Related;Female;Above 21 Years Old;2895
2018;Cheating & Related;Female;Above 21 Years Old;2963
2019;Cheating & Related;Female;Above 21 Years Old;3990
2011;Cheating & Related;Female;Youths (7 To 19 Years Old);77
2012;Cheating & Related;Female;Youths (7 To 19 Years Old);130
2013;Cheating & Related;Female;Youths (7 To 19 Years Old);80
2014;Cheating & Related;Female;Youths (7 To 19 Years Old);120
2015;Cheating & Related;Female;Youths (7 To 19 Years Old);159
2016;Cheating & Related;Female;Youths (7 To 19 Years Old);208
2017;Cheating & Related;Female;Youths (7 To 19 Years Old);174
2018;Cheating & Related;Female;Youths (7 To 19 Years Old);211
2019;Cheating & Related;Female;Youths (7 To 19 Years Old);311
2011;Outrage Of Modesty;Female;21 Years Old And Below;586
2012;Outrage Of Modesty;Female;21 Years Old And Below;585
2013;Outrage Of Modesty;Female;21 Years Old And Below;579
2014;Outrage Of Modesty;Female;21 Years Old And Below;568
2015;Outrage Of Modesty;Female;21 Years Old And Below;519
2016;Outrage Of Modesty;Female;21 Years Old And Below;466
2017;Outrage Of Modesty;Female;21 Years Old And Below;618
2018;Outrage Of Modesty;Female;21 Years Old And Below;692
2019;Outrage Of Modesty;Female;21 Years Old And Below;603
2011;Outrage Of Modesty;Female;Above 21 Years Old;810
2012;Outrage Of Modesty;Female;Above 21 Years Old;828
2013;Outrage Of Modesty;Female;Above 21 Years Old;767
2014;Outrage Of Modesty;Female;Above 21 Years Old;793
2015;Outrage Of Modesty;Female;Above 21 Years Old;756
2016;Outrage Of Modesty;Female;Above 21 Years Old;774
2017;Outrage Of Modesty;Female;Above 21 Years Old;932
2018;Outrage Of Modesty;Female;Above 21 Years Old;1037
2019;Outrage Of Modesty;Female;Above 21 Years Old;960
2011;Outrage Of Modesty;Female;Youths (7 To 19 Years Old);474
2012;Outrage Of Modesty;Female;Youths (7 To 19 Years Old);427
2013;Outrage Of Modesty;Female;Youths (7 To 19 Years Old);446
2014;Outrage Of Modesty;Female;Youths (7 To 19 Years Old);439
2015;Outrage Of Modesty;Female;Youths (7 To 19 Years Old);416
